title;artist;peakpos;lastpos;weeks;rank;isnew
As It Was;Harry Styles;1;2;13;1;False
First Class;Jack Harlow;1;3;12;2;False
About Damn Time;Lizzo;3;5;11;3;False
Wait For U;Future Featuring Drake & Tems;1;4;9;4;False
Jimmy Cooks;Drake Featuring 21 Savage;1;1;2;5;False
Running Up That Hill (A Deal With God);Kate Bush;4;9;25;6;False
Break My Soul;Beyonce;7;15;2;7;False
Me Porto Bonito;Bad Bunny & Chencho Corleone;7;11;8;8;False
Heat Waves;Glass Animals;1;10;76;9;False
Glimpse Of Us;Joji;8;8;3;10;False
Big Energy;Latto;3;12;36;11;False
Titi Me Pregunto;Bad Bunny;5;16;8;12;False
The Kind Of Love We Make;Luke Combs;13;18;2;13;False
Wasted On You;Morgan Wallen;9;17;33;14;False
Stay;The Kid LAROI & Justin Bieber;1;19;51;15;False
I Like You (A Happier Song);Post Malone Featuring Doja Cat;9;22;4;16;False
Sticky;Drake;6;6;2;17;False
Late Night Talking;Harry Styles;4;24;6;18;False
Numb Little Bug;Em Beihold;19;27;22;19;False
Boyfriend;Dove Cameron;16;25;20;20;False
Ghost;Justin Bieber;5;26;40;21;False
Left And Right;Charlie Puth Featuring Jung Kook;22;0;1;22;True
Get Into It (Yuh);Doja Cat;23;31;30;23;False
Sunroof;Nicky Youre & dazy;24;33;5;24;False
Bad Habits;Ed Sheeran;2;29;53;25;False
Moscow Mule;Bad Bunny;4;32;8;26;False
Enemy;Imagine Dragons X JID;5;30;32;27;False
Cold Heart (PNAU Remix);Elton John & Dua Lipa;7;35;43;28;False
Woman;Doja Cat;7;34;48;29;False
Shivers;Ed Sheeran;4;39;42;30;False
Like I Love Country Music;Kane Brown;31;46;6;31;False
Provenza;Karol G;25;40;10;32;False
Super Gremlin;Kodak Black;3;38;34;33;False
Vegas;Doja Cat;34;67;4;34;False
Take My Name;Parmalee;22;43;13;35;False
You Proof;Morgan Wallen;6;41;7;36;False
Thats What I Want;Lil Nas X;8;37;41;37;False
She Had Me At Heads Carolina;Cole Swindell;38;76;5;38;False
Something In The Orange;Zach Bryan;37;50;10;39;False
Efecto;Bad Bunny;34;45;8;40;False
Sweetest Pie;Megan Thee Stallion & Dua Lipa;15;44;16;41;False
Damn Strait;Scotty McCreery;39;59;13;42;False
Trouble With A Heartbreak;Jason Aldean;32;54;15;43;False
Massive;Drake;14;14;2;44;False
Thousand Miles;The Kid LAROI;15;49;10;45;False
Fall In Love;Bailey Zimmerman;46;60;9;46;False
Bam Bam;Camila Cabello Featuring Ed Sheeran;21;36;17;47;False
Despues de La Playa;Bad Bunny;6;53;8;48;False
Party;Bad Bunny & Rauw Alejandro;14;51;8;49;False
2step;Ed Sheeran Featuring Lil Baby;50;56;10;50;False
In A Minute;Lil Baby;14;63;12;51;False
MAMIII;Becky G X Karol G;15;64;20;52;False
