Source;Target;Label;Weight
love;time;love-time;1265
love;never;love-never;1055
love;baby;love-baby;1150
love;way;love-way;976
love;think;love-think;902
love;give;love-give;921
love;thing;love-thing;812
love;look;love-look;732
love;heart;love-heart;875
love;night;love-night;749
love;keep;love-keep;699
love;find;love-find;649
love;try;love-try;590
love;around;love-around;566
love;mind;love-mind;585
love;hold;love-hold;617
love;live;love-live;476
love;put;love-put;425
love;us;love-us;450
love;face;love-face;387
love;hard;love-hard;376
love;nothing;love-nothing;399
love;another;love-another;396
love;wait;love-wait;419
love;change;love-change;379
love;use;love-use;376
love;bring;love-bring;340
love;end;love-end;385
love;alone;love-alone;384
love;without;love-without;363
love;seem;love-seem;313
love;miss;love-miss;253
love;tear;love-tear;295
love;sure;love-sure;284
love;forever;love-forever;271
love;arm;love-arm;244
love;wonder;love-wonder;212
love;fight;love-fight;193
love;till;love-till;172
love;save;love-save;158
love;waste;love-waste;142
love;apart;love-apart;159
love;angel;love-angel;119
love;outside;love-outside;109
love;answer;love-answer;118
love;realize;love-realize;107
love;earth;love-earth;116
love;tomorrow;love-tomorrow;97
love;desire;love-desire;108
love;pride;love-pride;102
love;cant;love-cant;90
love;yesterday;love-yesterday;81
love;living;love-living;83
love;anymore;love-anymore;79
love;likei;love-likei;80
love;strength;love-strength;85
love;pretend;love-pretend;78
love;mmm;love-mmm;70
love;loveembed;love-loveembed;58
love;right;love-right;833
love;girl;love-girl;782
love;world;love-world;568
love;break;love-break;413
love;stay;love-stay;430
love;home;love-home;376
love;friend;love-friend;390
love;place;love-place;343
love;watch;love-watch;293
love;people;love-people;286
love;game;love-game;307
love;money;love-money;252
love;crazy;love-crazy;268
love;fly;love-fly;242
love;black;love-black;210
love;top;love-top;211
love;house;love-house;197
love;throw;love-throw;172
love;party;love-party;130
love;wear;love-wear;139
love;buy;love-buy;157
love;ring;love-ring;168
love;honey;love-honey;148
love;huh;love-huh;121
love;heat;love-heat;106
love;clothes;love-clothes;108
love;hat;love-hat;106
love;trip;love-trip;94
love;rather;love-rather;108
love;hill;love-hill;82
love;diamond;love-diamond;84
love;heavy;love-heavy;83
love;fame;love-fame;64
love;famous;love-famous;56
love;back;love-back;764
love;day;love-day;775
love;man;love-man;605
love;away;love-away;584
love;hear;love-hear;502
love;turn;love-turn;531
love;stop;love-stop;420
love;name;love-name;375
love;two;love-two;340
love;stand;love-stand;348
love;free;love-free;261
love;blow;love-blow;204
love;three;love-three;181
love;soon;love-soon;151
love;five;love-five;138
love;lord;love-lord;131
love;four;love-four;122
love;along;love-along;133
love;land;love-land;103
love;mile;love-mile;103
love;train;love-train;88
love;hundred;love-hundred;83
love;country;love-country;70
love;want;love-want;1083
love;need;love-need;951
love;leave;love-leave;614
love;call;love-call;527
love;cause;love-cause;430
love;much;love-much;501
love;wrong;love-wrong;402
love;close;love-close;390
love;rock;love-rock;230
love;street;love-street;232
love;forget;love-forget;250
love;lover;love-lover;223
love;reason;love-reason;195
love;dead;love-dead;146
love;wall;love-wall;147
love;number;love-number;141
love;nothin;love-nothin;120
love;track;love-track;116
love;jump;love-jump;111
love;lookin;love-lookin;114
love;trouble;love-trouble;110
love;breathe;love-breathe;115
love;little;love-little;510
love;wo;love-wo;508
love;run;love-run;413
love;really;love-really;459
love;believe;love-believe;460
love;talk;love-talk;396
love;walk;love-walk;371
love;lose;love-lose;406
love;inside;love-inside;416
love;everything;love-everything;412
love;mine;love-mine;391
love;big;love-big;313
love;last;love-last;375
love;together;love-together;370
love;care;love-care;351
love;first;love-first;311
love;someone;love-someone;303
love;else;love-else;263
love;anything;love-anything;213
love;hell;love-hell;163
love;win;love-win;169
love;wild;love-wild;134
love;follow;love-follow;149
love;record;love-record;82
love;almost;love-almost;105
love;strange;love-strange;107
love;mistake;love-mistake;87
love;shadow;love-shadow;90
love;anyone;love-anyone;87
love;message;love-message;72
love;tough;love-tough;65
love;luck;love-luck;63
love;level;love-level;56
love;stare;love-stare;57
love;tone;love-tone;63
love;travel;love-travel;58
love;nerve;love-nerve;52
love;except;love-except;50
love;still;love-still;538
love;long;love-long;558
love;boy;love-boy;389
love;side;love-side;311
love;fool;love-fool;248
love;rain;love-rain;210
love;sky;love-sky;188
love;alright;love-alright;167
love;wake;love-wake;168
love;reach;love-reach;169
love;guy;love-guy;116
love;school;love-school;124
love;bit;love-bit;137
love;lyricsi;love-lyricsi;107
love;la;love-la;112
love;explain;love-explain;102
love;sister;love-sister;106
love;river;love-river;92
