Id;Label;Name;Size
love;love;love;1874
time;time;time;1695
way;way;way;1479
baby;baby;baby;1476
want;want;want;1451
back;back;back;1434
right;right;right;1408
never;never;never;1396
think;think;think;1358
feel;feel;feel;1319
girl;girl;girl;1262
look;look;look;1261
good;good;good;1231
could;could;could;1219
thing;thing;thing;1205
need;need;need;1189
give;give;give;1113
life;life;life;1071
keep;keep;keep;1065
day;day;day;1061
man;man;man;1030
leave;leave;leave;994
night;night;night;916
every;every;every;892
try;try;try;887
around;around;around;884
call;call;call;859
would;would;would;857
put;put;put;842
find;find;find;838
still;still;still;806
heart;heart;heart;806
world;world;world;782
eye;eye;eye;782
little;little;little;778
away;away;away;775
hold;hold;hold;768
hear;hear;hear;759
show;show;show;746
turn;turn;turn;739
even;even;even;738
mind;mind;mind;737
ta;ta;ta;731
wo;wo;wo;718
long;long;long;716
hand;hand;hand;715
stop;stop;stop;696
hey;hey;hey;691
boy;boy;boy;687
talk;talk;talk;658
always;always;always;656
really;really;really;645
home;home;home;642
head;head;head;641
everything;everything;everything;638
cause;cause;cause;637
ever;ever;ever;635
hard;hard;hard;630
real;real;real;626
break;break;break;625
play;play;play;619
lose;lose;lose;613
walk;walk;walk;612
us;us;us;610
run;run;run;608
start;start;start;604
ya;ya;ya;601
much;much;much;590
stay;stay;stay;585
live;live;live;582
believe;believe;believe;582
face;face;face;565
name;name;name;563
new;new;new;562
wait;wait;wait;560
move;move;move;558
mean;mean;mean;558
friend;friend;friend;551
nothing;nothing;nothing;544
hit;hit;hit;541
light;light;light;538
change;change;change;532
big;big;big;532
dream;dream;dream;524
fall;fall;fall;517
two;two;two;506
shit;shit;shit;499
watch;watch;watch;497
something;something;something;494
nigga;nigga;nigga;486
bad;bad;bad;482
bring;bring;bring;479
work;work;work;476
game;game;game;476
stand;stand;stand;470
another;another;another;469
end;end;end;466
money;money;money;462
uh;uh;uh;458
last;last;last;458
first;first;first;458
yo;yo;yo;455
wrong;wrong;wrong;455
tonight;tonight;tonight;453
place;place;place;453
high;high;high;434
word;word;word;432
ask;ask;ask;432
alone;alone;alone;432
use;use;use;426
cry;cry;cry;426
inside;inside;inside;425
old;old;old;423
car;car;car;417
best;best;best;416
fuck;fuck;fuck;412
song;song;song;407
without;without;without;405
lie;lie;lie;401
hot;hot;hot;401
side;side;side;400
please;please;please;393
fly;fly;fly;390
dance;dance;dance;390
ride;ride;ride;389
everybody;everybody;everybody;389
door;door;door;389
close;close;close;389
catch;catch;catch;389
crazy;crazy;crazy;386
roll;roll;roll;384
touch;touch;touch;383
kiss;kiss;kiss;381
damn;damn;damn;380
miss;miss;miss;366
body;body;body;364
club;club;club;363
drop;drop;drop;362
care;care;care;360
bitch;bitch;bitch;359
enough;enough;enough;358
mine;mine;mine;356
rock;rock;rock;354
maybe;maybe;maybe;354
street;street;street;352
lady;lady;lady;352
seem;seem;seem;350
star;star;star;347
smile;smile;smile;347
god;god;god;347
year;year;year;346
sing;sing;sing;345
next;next;next;345
beat;beat;beat;345
line;line;line;343
meet;meet;meet;341
pull;pull;pull;340
throw;throw;throw;336
