Id;Label;Size
time;time;357
love;love;339
want;want;330
back;back;318
never;never;297
need;need;282
keep;keep;279
shit;shit;277
fuck;fuck;272
baby;baby;268
way;way;267
give;give;261
bitch;bitch;257
feel;feel;254
nigga;nigga;250
think;think;245
good;good;236
still;still;230
right;right;225
could;could;222
put;put;220
life;life;216
look;look;207
leave;leave;207
call;call;199
every;every;197
girl;girl;193
even;even;193
night;night;192
ta;ta;183
thing;thing;181
try;try;180
new;new;180
day;day;176
would;would;174
tryna;tryna;174
man;man;174
run;run;166
hit;hit;164
us;us;159
turn;turn;158
money;money;153
find;find;153
talk;talk;151
niggas;niggas;150
around;around;149
mind;mind;148
real;real;146
play;play;146
really;really;145
heart;heart;145
bad;bad;144
uh;uh;143
big;big;142
show;show;140
two;two;138
stay;stay;136
hold;hold;135
boy;boy;132
stop;stop;131
lose;lose;131
lil;lil;131
hear;hear;130
friend;friend;127
always;always;126
wo;wo;125
catch;catch;125
hard;hard;122
head;head;120
body;body;120
pull;pull;119
break;break;118
face;face;117
eye;eye;115
use;use;114
home;home;114
god;god;114
long;long;113
much;much;112
light;light;111
fuckin;fuckin;111
ever;ever;111
ayy;ayy;111
die;die;110
buy;buy;110
talkin;talkin;107
away;away;107
watch;watch;106
live;live;106
start;start;105
top;top;104
hand;hand;104
bring;bring;104
walk;walk;103
damn;damn;102
world;world;101
gettin;gettin;101
little;little;100
last;last;99
high;high;99
goin;goin;99
pop;pop;98
old;old;96
everything;everything;96
ask;ask;96
car;car;95
another;another;95
ah;ah;95
whole;whole;94
pussy;pussy;93
hoe;hoe;93
first;first;93
kill;kill;92
name;name;91
miss;miss;91
pay;pay;90
hundred;hundred;90
change;change;90
wrong;wrong;89
stick;stick;89
song;song;89
end;end;89
mean;mean;88
hey;hey;88
three;three;87
inside;inside;87
house;house;87
fall;fall;87
best;best;87
yo;yo;86
hate;hate;86
move;move;85
lookin;lookin;85
lie;lie;85
woah;woah;83
nothin;nothin;83
side;side;82
wait;wait;81
touch;touch;81
tonight;tonight;81
rich;rich;81
meet;meet;81
lot;lot;81
care;care;81
phone;phone;79
okay;okay;79
mine;mine;79
everybody;everybody;79
drop;drop;79
bag;bag;79
work;work;78
mama;mama;78
hell;hell;78
alone;alone;78
young;young;77
street;street;77
dream;dream;77
huh;huh;76
comin;comin;76
somethin;somethin;74
sleep;sleep;74
beat;beat;74
ya;ya;73
throw;throw;73
please;please;73
place;place;73
feeling;feeling;73
nobody;nobody;72
free;free;72
five;five;72
city;city;72
wish;wish;71
wake;wake;71
smoke;smoke;71
blue;blue;71
kid;kid;70
ho;ho;70
deep;deep;70
crazy;crazy;70
block;block;70
year;year;69
though;though;69
doin;doin;69
believe;believe;69
line;line;68
hurt;hurt;68
door;door;68
close;close;68
without;without;67
send;send;67
hope;hope;67
someone;someone;66
shoot;shoot;66
roll;roll;66
ride;ride;65
fast;fast;65
business;business;65
ready;ready;64
gang;gang;64
diamond;diamond;64
town;town;63
ten;ten;63
switch;switch;63
star;star;63
somebody;somebody;63
eat;eat;63
outside;outside;62
game;game;62
trust;trust;61
sure;sure;61
road;road;61
many;many;61
shot;shot;60
kiss;kiss;60
fly;fly;60
drive;drive;60
dick;dick;60
cry;cry;60
woo;woo;59
thinkin;thinkin;59
sit;sit;59
since;since;59
nah;nah;59
gun;gun;59
four;four;59
fire;fire;59
feelin;feelin;59
different;different;59
word;word;58
pain;pain;58
next;next;58
hood;hood;58
enough;enough;58
black;black;58
problem;problem;57
people;people;57
party;party;57
million;million;57
fight;fight;57
check;check;57
bet;bet;57
soul;soul;56
pray;pray;56
maybe;maybe;56
drink;drink;56
act;act;56
th;th;55
something;something;55
open;open;55
late;late;55
full;full;55
daddy;daddy;55
sound;sound;54
red;red;54
reason;reason;54
playin;playin;54
mad;mad;54
family;family;54
dead;dead;54
tear;tear;53
nothing;nothing;53
makin;makin;53
la;la;53
foot;foot;53
fine;fine;53
couple;couple;53
brother;brother;53
truth;truth;52
straight;straight;52
stand;stand;52
slide;slide;52
runnin;runnin;52
pick;pick;52
sayin;sayin;51
past;past;51
hot;hot;51
guess;guess;51
dance;dance;51
count;count;51
cash;cash;51
water;water;50
save;save;50
room;room;50
music;music;50
kick;kick;50
grow;grow;50
e;e;50
cut;cut;50
