start,stop,weight
lyric,like,659
lyric,'s,608
lyric,get,555
lyric,time,348
lyric,come,336
lyric,love,330
lyric,let,309
lyric,keep,275
lyric,'',270
lyric,could,221
lyric,look,207
lyric,night,187
lyric,'ve,187
lyric,new,177
lyric,day,172
lyric,around,147
lyric,boy,130
lyric,hear,125
lyric,home,112
lyric,light,109
lyric,live,104
lyric,world,98
lyric,little,99
lyric,first,91
lyric,song,83
lyric,lot,80
lyric,alone,74
lyric,place,72
lyric,wish,70
lyric,town,63
like,'s,579
like,get,539
like,time,333
like,come,327
like,love,318
like,let,299
like,keep,272
like,'',266
like,could,212
like,look,200
like,night,183
like,'ve,171
like,new,173
like,day,165
like,around,141
like,boy,127
like,hear,126
like,home,105
like,light,101
like,live,100
like,world,96
like,little,93
like,first,88
like,song,81
like,lot,79
like,alone,73
like,place,67
like,wish,67
like,town,58
's,get,516
's,time,326
's,come,316
's,love,300
's,let,296
's,keep,258
's,'',248
's,could,201
's,look,197
's,night,178
's,'ve,174
's,new,165
's,day,150
's,around,138
's,boy,124
's,hear,123
's,home,108
's,light,99
's,live,100
's,world,95
's,little,93
's,first,85
's,song,77
's,lot,74
's,alone,70
's,place,67
's,wish,62
's,town,59
get,time,300
get,come,303
get,love,279
get,let,283
get,keep,247
get,'',235
get,could,189
get,look,184
get,night,161
get,'ve,152
get,new,165
get,day,149
get,around,133
get,boy,127
get,hear,115
get,home,96
get,light,81
get,live,98
get,world,87
get,little,83
get,first,85
get,song,74
get,lot,74
get,alone,64
get,place,60
get,wish,57
get,town,50
time,come,184
time,love,188
time,let,162
time,keep,157
time,'',134
time,could,126
time,look,115
time,night,113
time,'ve,112
time,new,92
time,day,104
time,around,77
time,boy,63
time,hear,76
time,home,54
time,light,54
time,live,65
time,world,53
time,little,54
time,first,62
time,song,52
time,lot,40
time,alone,37
time,place,34
time,wish,35
time,town,32
come,love,172
come,let,184
come,keep,168
come,'',151
come,could,120
come,look,116
come,night,93
come,'ve,86
come,new,111
come,day,86
come,around,90
come,boy,84
come,hear,73
come,home,62
come,light,56
come,live,62
come,world,55
come,little,52
come,first,50
come,song,42
come,lot,51
come,alone,35
come,place,31
come,wish,29
come,town,34
love,let,167
love,keep,149
love,'',131
love,could,124
love,look,96
love,night,101
love,'ve,97
love,new,85
love,day,96
love,around,83
love,boy,67
love,hear,56
love,home,65
love,light,56
love,live,56
love,world,56
love,little,60
love,first,45
love,song,46
love,lot,37
love,alone,44
love,place,41
love,wish,35
love,town,36
let,keep,150
let,'',138
let,could,97
let,look,109
let,night,89
let,'ve,81
let,new,101
let,day,80
let,around,80
let,boy,71
let,hear,62
let,home,55
let,light,50
let,live,52
let,world,55
let,little,47
let,first,43
let,song,38
let,lot,48
let,alone,41
let,place,33
let,wish,32
let,town,26
keep,'',125
keep,could,93
keep,look,96
keep,night,67
keep,'ve,75
keep,new,79
keep,day,74
keep,around,72
keep,boy,67
keep,hear,66
keep,home,55
keep,light,42
keep,live,50
keep,world,45
keep,little,38
keep,first,42
keep,song,43
keep,lot,43
keep,alone,31
keep,place,27
keep,wish,24
keep,town,24
'',could,96
'',look,95
'',night,72
'','ve,67
'',new,89
'',day,71
'',around,67
'',boy,74
'',hear,57
'',home,53
'',light,45
'',live,47
'',world,42
'',little,36
'',first,45
'',song,40
'',lot,38
'',alone,25
'',place,22
'',wish,24
'',town,27
could,look,71
could,night,76
could,'ve,83
could,new,59
could,day,67
could,around,51
could,boy,43
could,hear,48
could,home,39
could,light,35
could,live,39
could,world,36
could,little,41
could,first,52
could,song,31
could,lot,27
could,alone,26
could,place,30
could,wish,40
could,town,21
look,night,51
look,'ve,60
look,new,66
look,day,59
look,around,48
look,boy,42
look,hear,51
look,home,38
look,light,32
look,live,32
look,world,39
look,little,30
look,first,30
look,song,34
look,lot,31
look,alone,23
look,place,15
look,wish,27
look,town,21
night,'ve,58
night,new,60
night,day,61
night,around,41
night,boy,41
night,hear,39
night,home,38
night,light,47
night,live,30
night,world,28
night,little,37
night,first,33
night,song,26
night,lot,20
night,alone,34
night,place,26
night,wish,25
night,town,21
've,new,48
've,day,54
've,around,53
've,boy,34
've,hear,47
've,home,38
've,light,34
've,live,28
've,world,33
've,little,31
've,first,31
've,song,32
've,lot,25
've,alone,28
've,place,29
've,wish,29
've,town,23
new,day,40
new,around,44
new,boy,40
new,hear,38
new,home,35
new,light,25
new,live,31
new,world,24
new,little,24
new,first,29
new,song,25
new,lot,24
new,alone,19
new,place,11
new,wish,16
new,town,17
day,around,48
day,boy,31
day,hear,43
day,home,41
day,light,28
day,live,28
day,world,32
day,little,27
day,first,35
day,song,27
day,lot,24
day,alone,18
day,place,21
day,wish,23
day,town,27
around,boy,35
around,hear,40
around,home,35
around,light,28
around,live,22
around,world,38
around,little,23
around,first,30
around,song,19
around,lot,18
around,alone,16
around,place,21
around,wish,16
around,town,24
boy,hear,37
boy,home,22
boy,light,20
boy,live,25
boy,world,31
boy,little,21
boy,first,22
boy,song,22
boy,lot,26
boy,alone,11
boy,place,17
boy,wish,17
boy,town,12
hear,home,31
hear,light,18
hear,live,19
hear,world,25
hear,little,18
hear,first,17
hear,song,30
hear,lot,18
