artist;title
Madonna;Like A Virgin
Duran Duran;The Wild Boys
The Honeydrippers;Sea Of Love
New Edition;Cool It Now
Pat Benatar;We Belong
Jack Wagner;All I Need
Daryl Hall John Oates;Out Of Touch
Bryan Adams;Run To You
Chicago;You're The Inspiration
Julian Lennon;Valotte
Bruce Springsteen;Born In The USA
Chaka Khan;I Feel For You
Jermaine Jackson;Do What You Do
Foreigner;I Want To Know What Love Is
Paul McCartney;No More Lonely Nights
Philip Bailey With Phil Collins;Easy Lover
Bob Seger;Understanding
Ray Parker Jr.;Jamie
Don Henley;The Boys Of Summer
Band Aid;Do They Know It's Christmas?
Cyndi Lauper;All Through The Night
Survivor;I Can't Hold Back
Wham! Featuring George Michael;Careless Whisper
Rebbie Jackson;Centipede
Prince And The Revolution;I Would Die 4 U
Billy Ocean;Lover Boy
Wham!;Wake Me Up Before You Go-Go
The Cars;Hello Again
Rick Springfield;Bruce
Lionel Richie;Penny Lover
Stevie Wonder;Love Light In Flight
The Pointer Sisters;Neutron Dance
John Cafferty & The Beaver Brown Band;Tender Years
Sheila E.;The Belle Of St. Mark
Daryl Hall John Oates;Method Of Modern Love
Ashford & Simpson;Solid
Steve Perry;Foolish Heart
Giuffria;Call To The Heart
The Time;Jungle Love
Kool & The Gang;Misled
Elton John;In Neon
Sheena Easton;Strut
Midnight Star;Operator
U2;(Pride) In The Name Of Love
Culture Club;Mistake No. 3
General Public;Tenderness
Cyndi Lauper;Money Changes Everything
Glenn Frey;The Heat Is On
Sheena Easton;Sugar Walls
John Fogerty;The Old Man Down The Road
Toto;Stranger In Town
Dan Hartman;We Are The Young
David Bowie;Tonight
Diana Ross;Missing You
Barbra Streisand With Kim Carnes;Make No Mistake, He's Mine
Huey Lewis & The News;Walking On A Thin Line
New Edition;Mr. Telephone Man
Tina Turner;Better Be Good To Me
Teena Marie;Lover Girl
George Benson;20/20
Laura Branigan;Ti Amo
John Hunter;Tragedy
Frankie Goes To Hollywood;Two Tribes
The Kinks;Do It Again
The Temptations;Treat Her Like A Lady
John Parr;Naughty Naughty
Corey Hart;It Ain't Enough
Alphaville;Big In Japan
Tommy Shaw;Lonely School
Stevie Wonder;I Just Called To Say I Love You
Billy Ocean;Caribbean Queen (No More Love On The Run)
Prince And The Revolution;Purple Rain
Bronski Beat;Small Town Boy
Autograph;Turn Up The Radio
Billy Squier;Eye On You
Deep Purple;Knocking At Your Back Door
Rod Stewart;All Right Now
REO Speedwagon;I Do'wanna Know
Jeffrey Osborne;Don't Stop
The Honeydrippers;Rockin' At Midnight
Kenny Rogers & Dolly Parton;The Greatest Gift Of All
Dennis DeYoung;Desert Moon
Chicago;Hard Habit To Break
Roger Hodgson;Had A Dream (Sleeping With The Enemy)
Nolan Thomas;Yo Little Brother
Lorenzo Lamas;Fools Like Me
Rick Springfield With Randy Crawford;Taxi Dancing
Billy Idol;Catch My Fall
John Waite;Tears
Rick Dees;Eat My Shorts
Kenny Rogers With Kim Carnes & James Ingram;What About Me?
Shalamar;Amnesia
Dazz Band;Let It All Blow
Sammy Hagar;I Can't Drive 55
Whodini;Friends/Five Minutes Of Funk
The Pointer Sisters;I'm So Excited
David Bowie;Blue Jean
Billy Satellite;I Wanna Go Back
Scandal Featuring Patty Smyth;Hands Tied
Peter Wolf;I Need You Tonight
Eugene Wilde;Gotta Get You Home Tonight
Paul Hardcastle;Rain Forest
David Lee Roth;California Girls
REO Speedwagon;Can't Fight This Feeling
Tina Turner;Private Dancer
Pat Benatar;Ooh Ooh Song
Frankie Goes To Hollywood;Relax
Eric Carmen;I Wanna Hear It From Your Lips
Chaka Khan;This Is My Night
Jeffrey Osborne;The Borderlines
Kim Wilde;Go For It
Kim Carnes;Invitation To Dance
Journey;Only The Young
Julian Lennon;Too Late For Goodbyes
Billy Joel;Keeping The Faith
Survivor;High On You
Commodores;Nightshift
Scandal Featuring Patty Smyth;Beat Of A Heart
The Cars;Why Can't I Have You
Little River Band;Playing To Win
Kenny Rogers;Crazy
John Waite;Restless Heart
Animotion;Obsession
Duran Duran;Save A Prayer
Bryan Adams;Somebody
David Bowie/Pat Metheny Group;This Is Not America
Jermaine Stewart;The Word Is Out
The Manhattan Transfer;Baby Come Back To Me
Jermaine Jackson & Pia Zadora;When The Rain Begins To Fall
Madonna;Material Girl
Mick Jagger;Just Another Night
Phil Collins;One More Night
Prince And The Revolution Duet With Apollonia;Take Me With U
Toto;Holyanna
Dan Hartman;Second Nature
Roman Holliday;One Foot Back In Your Door
The Firm;Radioactive
Bruce Cockburn;If I Had A Rocket Launcher
Bruce Springsteen;I'm On Fire
Debarge;Rhythm Of The Night
Greg Kihn;Lucky
Isley, Jasper, Isley;Kiss and Tell
The Alan Parsons Project;Let's Talk About Me
Steve Miller;Bongo Bongo
Patti LaBelle;New Attitude
Chicago;Along Comes A Woman
Don Henley;All She Wants to Do Is Dance
Santana;Say It Again
Murray Head;One Night In Bangkok
The Time;The Bird
Simple Minds;Don't You (Forget About Me)
The Vels;Look My Way
Go West;We Close Our Eyes
Madonna;Crazy For You
Robey;One Night In Bangkok
Sade;Smooth Operator
John Waite;Change
The Manhattans;You Send Me
Midnight Star;Scientific Love
Eric Clapton;Forever Man
UTFO;Roxanne, Roxanne
Barbra Streisand;Emotion
Alison Moyet;Invisible
Mary Jane Girls;In My House
Triumph;Follow Your Heart
The Tubes;Piece By Piece
Foreigner;That Was Yesterday
Daryl Hall John Oates;Some Things Are Better Left Unsaid
The Power Station;Some Like It Hot
Tom Petty And The Heartbreakers;Don't Come Around Here No More
John Fogerty;Rock And Roll Girls
Tears For Fears;Everybody Wants To Rule The World
Jesse Johnson's Revue;Be Your Man
Luther Vandross;'Til My Baby Comes Home
Maze Featuring Frankie Beverly;Back In Stride
USA For Africa;We Are The World
Wham!;Everything She Wants
Kenny Loggins;Vox Humana
Billy Ocean;Suddenly
David Lee Roth;Just A Gigolo/I Ain't Got Nobody
