title;artist;lyrics;filename
(Kissed You) Good Night;Gloriana;light cant sat turn death run front go half breath edge 've wall back good meet lyric kiss little scar push midnight wouldnt fall shoulda live see might car 'til goodnightembed right porch also goodnight wrong wasnt ready praying catch yard window like night 's lock could door baby watch wonderin drop n't knock moment;(Kissed You) Good Night by Gloriana.txt
2 Reasons;Trey Songz;nine carolina zone ten china hold alaska partner chick keep regular side hard control turn play us street go skin trey lot cold yo say yellow come york yeah shit ga white florida yellin' hit waitress bar tennessee tomorrow ooh whole fine back trailin' oh would thick broad fact get bubba handcuff know eight west whatchu dancin freak bankhead 'bout lyric phone club ca today dick hear hot drunk stop concern dj burn find need bottle ai ghetto poppin parking booty since houston minor kush see might lookin g gettin two man ballers birthday right girl also aint comin dough ruin virginia drink tell matter body city shout vip party catch drinksembed dont somebody bet like 'm way chicago hella fishtailin pop new shawty 's tryin bad nobody behind never bone even trippin baby door thing hey 'burbs bitch bring buy corner glass dark reason every n't send smell picture bay la ca-came;2 Reasons by Trey Songz.txt
22;Taylor Swift;dress anyway uh-uh dreamin' woah ta keep youembed love fun news hipster 'll yeah sleepin' time ooh translationsespanolportugues whole taylor oh magical get forget know one twenty-two seem instead lyric cool everything kid free stranger ditch make confused ew next midnight best fall heartbreak might miserable deadline also oh-oh-oh-oh eh-yeah lonely place scene exes sleep tonight wo swift we're bet like 'm way night 's bad end oh-oh 're dance feel many hey happy alright perfect want look crowded breakfast woah-oh n't;22 by Taylor Swift.txt
4 AM;Melanie Fiona;light call somewhere heart leave love go .. else mistreat life care give ... time 've head kinda bed sacrifice chest likeit lover get think deserve know stupid 'bout pourin ca gon without scar make need kind lose heat bump answer see might around man dancer also bruise sippin beg drink na crazy wo swear mo'fucka arm somebody 'm somebodyembed night sick must 's still could feel even baby wife sit probably perfect look lyricst hurt stand 'd n't another champagne;4 AM by Melanie Fiona.txt
5 OClock;T-Pain;whoa bedroom texts-es call keep ugh leave iphone love go us say 'll come yeah kindly-y let hit time 've wall ah ooh texting head bed finish creep hahahahaha put oh would morning get kill plug know pretend youre nuvo one 'bout 'cause lyric phone club t-shirt always hear cell voice less sure nothing im ayy find house worry `` boring soon ai thirsty best check ive oclock sing since damn wait see horny might around thought car right girl stair also themthat goodnight mad show ya boy sun lonely y'all drink ah-ah-ah clock crazy sleep me-ee wo i'ma remind home chain last o'clock talk conversation trip stall babe close dont like 'm floor way naked crib night sneak female 's bad oh-oh hop '' already morningembed feel song baby miss many ask thing dresser want nah-nah-nah stay kindly youthat 'd well every n't send yawn perform wake;5 OClock by T-Pain.txt
5-1-5-0;Dierks Bentley;sweet ta call side love seat babyyou 'll else yeah spinnin ever lovin ... 've head good po-po get think one meet 'bout nothin 'cause losin lyric ca likeembed yoyo first-class felt mind ozzy uhm kiss little need loco ai drivin since train might goin insane girl number truck shotgun also ridin crazy tellin dont somebody day like 'm night brain new 's mess bit thinkin never enough -- baby n't;5-1-5-0 by Dierks Bentley.txt
50 Ways To Say Goodbye;Train;sting superman full mudslide high quicksand side heart oversized leave death run love go paralyze minivan say 'll drown tub ever pride airplane head diedembed lion dry super good eat get suntanned think one mean return meet east die kippur lyric lie club cool everything gon hot scion mixer find help live crappy might water also died na catch road day like 'm purple way night desert 's still 're dance thousand cement could feel fell friend wan ask want buy shark n't yom take fry goodbye;50 Ways To Say Goodbye by Train.txt
99 Problems;Tony Lucca;prize second say come yeah lyricstip tip time chest pound get west one order ca likeembed performance ton voice flesh beat mind broken foot make lose soon heat ai flood son oneyou might right girl change also devil sun problem drink really like hat 's bad 're crossroad could feel friend bitch want look blood inside glass well n't;99 Problems by Tony Lucca.txt
A Thousand Years (Part 2);Christina Perri;hold beauty alone heart front love go moreembed 'll come fast breath let time away would suddenly know year one die meet start lyric afraid brave beat step doubt find believe fall frozen wait might darling right also somehow promise everyday home pt closer hour day 'm along like anything 's still thousand watch bring stand 'd every n't color take;A Thousand Years (Part 2) by Christina Perri.txt
A Thousand Years;Christina Perri;beauty alone heart front love go moreembed 'll come fast breath let time away would suddenly year one die afraid brave beat step doubt find believe fall wait might darling also somehow promise lyrics closer i'm hour day like along anything 's still thousand watch bring stand every n't color take translationsa;A Thousand Years by Christina Perri.txt
A Woman Like You;Lee Brice;woman light name evening hopeless tuesday keep alone play love offshore news try lot cold say ear yeah throw attention laugh ... trade coffee driftin couple old chicken bed watchin shootin whisper smile oh outta would good seriously game eat mention get pool forget real know year one meet cash loose 'nova dig cover likeembed drive sure heard dirtbike single make pillow `` lucky yoga eye best honey roll shed deep-sea might darling honestly football man bass girl also restock tell gold though fried green cause lyricslast day like way line night sick bud 's mess fan deep bachelor still '' never could poker stroke guess miss blue probably drive-thru look hand pad 'd well every n't band take c'mon golf fishin' sound;A Woman Like You by Lee Brice.txt
Adorn;Miguel;chic dress ta youembed love us skin lip try 'll yeah ever let time ooh whole different fist put oh would good get know freak lyric art ca sky taste please always mind protect uh star ai eye adore lady wait see might dealer also na-nah-now break tell ooh-ooh ahh babe like way night 's affect nobody never friend baby hey adorn world neglect look f every n't grin sugar le-le-le-let;Adorn by Miguel.txt
Ai Se Eu Te Pego;Michel Telo;galera mais eu te menina linda might delicia sabado comecei balada voce lyric pego also assim nossa passou likeembed se na tomei mata falar pegoyou comecou dancar ai translationsenglishai e coragem;Ai Se Eu Te Pego by Michel Telo.txt
All Around The World;Justin Bieber;light shine beauty control love go us second say win yeah life reverse let give time people duo pay world-world-world different worth back okay think deserve know one surface dynamic 'cause lyric please everything shy dj find make star act lose revolve battle doin itchin reflect may everyone might around beautiful right girl change show also sun jb na crazy imperfectly like anything holdin hate 's work end luda 're never baby moon wan world-world-worldembed world bring want perfect scratch every n't explosive;All Around The World by Justin Bieber.txt
